根据图片，计算这个三角形的面积。,6,简单,数学,src\media\三角形.png
What are they doing in the conversation?,Saying goodbye.,Eating lunch.,Exercising.,Greeting with each other.,D,简单,英语,src\media\听力.wav
下图这个正三角形，边长为3，请计算面积。,9√3/4,中等,数学,src\media\正三角形.svg
Translate 'apple' into Chinese,苹果,简单,英语,null
5的平方是多少？,25,简单,数学,null
《西游记》的主要作者是谁？,吴承恩,中等,语文,null
8 ÷ 2,3,4,6,5,B,中等,数学,null
“不入虎穴，焉得虎子”是什么意思？,不经历风险就得不到回报,困难,语文,null
The past tense of 'run' is?,ran,中等,英语,null
圆的面积公式是什么？,πr²,困难,数学,null
《水浒传》描述的是哪个时期的故事？,宋朝,唐朝,明朝,清朝,A,困难,语文,null
What is the antonym of 'ancient'?,Old,Modern,Historic,Traditional,B,中等,英语,null
立方根64是多少？,4,中等,数学,null
Translate 'book' into Chinese,书,简单,英语,null
7 × 8,56,简单,数学,null
《三国演义》中著名的“桃园三结义”包括哪三人？,刘备、关羽、张飞,曹操、刘备、孙权,周瑜、赵云、马超,鲁肃、黄盖、孙策,A,中等,语文,null
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,A,困难,英语,null
描述“朝花夕拾”的作者是谁？,鲁迅,中等,语文,null
The opposite of 'difficult' is?,easy,简单,英语,null
一个正方形的周长是40cm，它的面积是多少平方厘米？,100,中等,数学,null
《儒林外史》是谁的作品？,吴敬梓,曹雪芹,罗贯中,施耐庵,A,困难,语文,null
'Incredible' means?,Unbelievable,Ordinary,Invisible,Inaudible,A,困难,英语,null
求解方程：x² - 5x + 6 = 0,x = 2 或 x = 3,困难,数学,null
